geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00060_0040	20.19289	18.17688	19.290106	22.263559	19.695246	19.655964
kfl00060_0050	9.674771	10.192542	11.031364	12.639003	11.834854	12.140841
kfl00060_0060	11.106716	9.488216	10.282576	11.989209	13.182289	11.980501
kfl00060_0070	2.805382	3.169926	2.924948	2.565674	2.478459	2.851776
kfl00060_0080	10.086094	10.882168	12.427413	13.826394	13.407219	12.71349
kfl00060_0090	19.879147	22.463587	23.327932	21.74667	21.125231	20.115599
kfl00060_0100	7.075853	6.703591	6.525976	6.657945	7.64238	6.900048
kfl00060_0110	3.714892	3.827813	3.138323	2.079125	2.302675	2.58856
kfl00060_0120	0	0.084288	0	0	0.042351	0
kfl00060_0130	23.003984	24.556787	25.060862	28.411232	25.096035	25.992079
kfl00060_0140	36.463528	42.090477	39.331665	34.67556	38.357368	34.224323
kfl00060_0150	0	0	0	0	0	0
kfl00060_0160	0	0	0	0	0	0
kfl00060_0170	0	0	0	0	0	0
kfl00060_0180	0	0	0	0	0	0
kfl00060_0190	31.545134	30.778038	28.977154	10.942223	8.779855	11.667525
kfl00060_0200	13.408127	15.677514	12.048001	12.303309	11.362243	11.552118
kfl00060_0210	13.217214	16.344439	17.460083	25.380613	24.496479	23.831808
kfl00060_0220	23.414547	21.432888	23.69673	13.172584	15.023017	11.830551
kfl00060_0230	129.815262	110.27317	107.143501	46.824368	38.876373	45.398193
kfl00060_0240	31.365452	33.609722	29.845276	36.617645	34.825874	37.830486
kfl00060_0250	21.671793	22.637817	26.965061	25.272078	26.010424	24.326534
kfl00060_0260	25.195328	28.720066	28.386206	11.999148	11.140811	13.344618
kfl00060_0270	194.375992	221.126297	226.746231	201.184433	179.538132	173.612106
kfl00060_0280	20.471951	17.031027	16.750849	24.443314	24.303053	20.746265
kfl00060_0290	0	0	0	0	0	0
kfl00060_0300	8.042581	8.385549	9.35744	6.632053	7.364667	6.237927
kfl00060_0310	37.139046	44.945065	37.240074	37.83139	41.305561	41.932167
kfl00060_0320	33.794743	38.45742	41.007423	37.279381	43.259949	38.149403
kfl00060_0330	0	0	0.049358	0.054177	0	0.056775
kfl00060_0340	6.782656	5.319331	5.905659	2.441756	2.474191	3.273787
kfl00060_0350	80.779709	91.113449	91.046707	61.861332	55.954224	59.678478
kfl00060_0360	7.035989	7.13545	6.185662	6.366466	6.514137	6.641505
kfl00060_0370	0	0	0	0	0	0
kfl00060_0380	0	0	0	0	0	0
kfl00060_0390	4.811157	4.381202	3.962282	2.548514	3.169838	2.825152
kfl00060_g6	41.74633	40.916183	41.494629	47.772549	41.492374	47.205101
kfl00061_0010	18.366005	17.561092	18.856268	17.553587	17.11517	17.864529
kfl00061_0020	10.976925	11.398629	10.58067	14.425838	14.278264	12.402222
kfl00061_0030	70.711243	73.340279	75.88208	81.61187	89.889099	75.43148
kfl00061_0040	73.222061	94.458885	94.43544	126.101395	140.091187	120.342598
kfl00061_0050	7.624787	9.310394	7.326086	4.166757	4.507233	4.696997
kfl00061_0060	6.81389	7.119112	7.495203	8.966043	7.80242	7.44958
kfl00061_0070	10.461563	10.272067	9.889074	8.092879	9.264582	8.47681
kfl00061_0080	0	0	0	0	0	0
kfl00061_0090	0	0	0	0	0	0
kfl00061_0100	11.439412	12.446972	12.04954	13.587408	15.145103	13.583369
kfl00061_0110	233.172653	221.822067	215.641296	253.062439	274.886841	207.420288
kfl00061_0120	27.989231	32.615532	28.912058	30.438211	26.425589	30.935957
kfl00061_0130	22.082415	24.444187	22.393747	22.531553	19.175198	21.348228
kfl00061_0140	10.000976	9.597739	10.637734	7.717896	6.132027	7.755591
kfl00061_0150	32.180801	30.489969	31.393368	34.832241	34.603878	32.483196
kfl00061_0160	45.137108	48.078117	51.589069	48.802376	42.663357	46.239815
kfl00061_0170	0.606188	0.516499	0.289183	0.184461	0.446103	0.514628
kfl00061_0180	19.18215	21.118694	22.34708	20.860926	22.757381	21.265568
kfl00061_0190	8.20211	8.211186	7.331793	8.640466	8.155185	8.736903
kfl00061_0200	11.288533	13.549387	12.80288	9.926478	10.944021	10.29244
kfl00061_0210	72.868279	76.248352	73.947731	104.424301	94.389503	97.472946
kfl00061_0220	56.832829	65.852753	67.380516	81.903778	87.605049	77.529655
kfl00061_0230	98.907478	102.191315	96.167236	71.469559	73.74733	71.419746
kfl00061_0240	7.423664	7.652693	6.543739	5.294775	5.760104	5.617994
kfl00061_0250	42.230885	42.64135	39.021111	41.532749	39.564728	38.667885
kfl00061_0260	32.798214	34.580231	35.621128	32.07272	27.826862	30.793158
kfl00061_0270	498.304688	569.729797	554.470825	267.475006	307.755249	386.723328
kfl00061_0280	7.848766	7.319877	6.174304	4.779543	4.57215	5.345857
kfl00061_0290	15.566234	15.304762	17.179211	14.275812	15.284917	12.650507
kfl00061_0300	132.81015	152.595642	149.174957	152.545105	153.152985	164.786804
kfl00061_0310	14.203207	16.263609	16.112894	12.360711	12.131952	11.3998
kfl00061_0320	21.754198	21.632607	22.684874	25.559679	23.906563	24.196938
kfl00061_0330	31.164597	26.343832	31.802362	45.666645	44.845158	47.158649
kfl00061_0340	0.799624	0.785703	0.758071	0.783802	0.565498	0.579689
kfl00061_0350	0	0	0.04869	0	0.083973	0.053055
kfl00061_0360	47.783066	42.36306	46.691235	49.133591	44.149261	44.071877
kfl00061_0370	74.591286	75.347588	72.664337	66.824348	66.427071	68.205528
kfl00061_0380	8.178018	7.408563	8.056881	9.197425	10.162335	8.819505
kfl00061_0390	0	0	0	0	0	0
kfl00061_0400	28.715895	26.839792	27.885103	17.403481	17.133915	16.149408
kfl00061_0410	20.095774	18.751032	23.127079	18.820024	19.218439	18.728249
kfl00061_0420	26.935486	30.571177	30.375696	32.978863	33.219284	34.62323
kfl00061_0430	106.550537	112.744301	114.056358	108.547798	94.472351	101.793129
kfl00061_0440	10.899167	9.914225	9.934546	10.430472	9.321601	9.439504
kfl00061_g1	0	0	9e-06	0	0	1.8e-05
kfl00061_g5	0.037405	0.039849	0.045022	0	0.154179	0
kfl00062_0010	49.254387	45.375816	48.872223	48.482487	48.690784	46.772141
kfl00062_0020	0.043213	0.0371	0.041939	0.007799	0.044043	0.038772
kfl00062_0030	31.706442	35.889217	33.632095	32.370594	30.31407	31.656744
kfl00062_0040	17.163902	14.646682	16.584997	10.616906	9.932789	10.785815
kfl00062_0050	197.321686	188.978943	187.058502	167.575607	172.745102	161.643951
kfl00062_0060	13.046844	11.76542	13.759346	17.899961	18.280924	20.566315
kfl00062_0070	0.805298	0.21588	0.429045	0.205927	0.221771	0.27997
kfl00062_0080	26.008957	25.466921	27.538696	32.045235	30.387701	31.356462
kfl00062_0090	15.574594	16.791155	16.500471	15.735344	15.649708	16.206738
kfl00062_0100	23.760523	25.309917	27.704859	30.016369	30.469803	32.197918
kfl00062_0110	3.811148	2.841272	3.031163	2.141891	2.482106	1.0796
kfl00062_0120	0	0	0	0	0	0
kfl00062_0130	10.787568	12.054919	12.204619	11.212967	11.34268	10.682672
kfl00062_0140	384.692902	406.533691	397.838623	413.272766	392.992096	350.816284
kfl00062_0150	267.288239	290.530701	292.141785	261.705933	285.912659	249.499466
kfl00062_0160	87.747551	93.118332	97.131233	94.156471	100.868294	90.948532
kfl00062_0170	118.014282	125.572159	114.859543	131.285507	138.942215	131.388809
kfl00062_0180	18.676975	16.737841	21.429827	21.435734	24.709637	21.096348
kfl00062_0190	94.852264	96.5644	91.77668	106.302444	98.608902	97.014084
kfl00062_0200	69.63002	67.07972	78.137741	75.986031	86.89151	65.715912
kfl00062_0210	36.941799	38.386147	45.862606	40.78331	39.041237	36.291153
kfl00062_0220	228.561554	216.761017	242.849411	239.704865	179.353302	211.075378
kfl00062_0230	88.577629	88.253609	88.697884	75.326836	70.197166	71.454407
kfl00062_0240	20.850094	20.323355	18.995989	19.392233	21.081261	22.01469
kfl00062_0250	11.310288	11.000611	9.559081	10.509959	11.450388	10.646065
kfl00062_0260	15.588571	14.690394	13.208668	13.663288	13.514957	12.836432
kfl00062_0270	0	0	0	0	0	0
kfl00062_0280	0	0	0	0	0	0
kfl00062_0290	0	0	0	0	0	0
kfl00062_0300	0	0	0	0	0	0
kfl00062_0310	43.917141	42.618866	57.377579	30.096889	40.968197	35.804459
kfl00062_0320	0	0	0	0	0	0
kfl00062_g10	0	0	0.198856	0.24201	0.250497	0.42336
kfl00062_g33	0	0	0	0	0	0
kfl00063_0010	95.640533	68.173035	63.234043	44.483902	36.689457	33.017376
kfl00063_0020	23.084059	21.967871	22.260883	23.951939	20.68446	21.219662
kfl00063_0030	47.030472	53.70179	52.122402	50.528347	57.388081	56.108456
kfl00063_0040	58.446011	53.308064	52.184761	25.845428	23.051933	22.958654
kfl00063_0050	14.077018	15.123441	15.12955	10.6314	9.072425	10.750329
kfl00063_0070	0	0	0	0	0	0
kfl00063_0080	10.132417	6.871472	7.693386	7.027013	7.206098	9.835398
kfl00063_0090	7.215407	7.607935	5.962705	5.777638	5.673314	5.576946
kfl00063_0100	7.30166	6.597011	5.937297	6.067172	7.471266	7.461357
kfl00063_0110	0.11464	0.080153	0	0.078157	0.159886	0.120914
kfl00063_0120	20.576584	25.138966	21.39657	20.046879	18.367113	20.064074
kfl00063_0130	18.835636	20.597534	19.576269	14.466103	16.566294	15.799088
kfl00063_0140	38.634674	32.354614	32.849667	32.942444	36.394791	37.879711
kfl00063_0150	7.931546	6.606257	6.991921	3.486098	3.992713	4.36832
kfl00063_0160	10.500486	10.250583	11.980385	9.014197	7.848703	8.076613
kfl00063_0170	14.736157	15.465124	14.364583	13.064439	15.081511	14.309927
kfl00063_0180	8.153556	6.969028	6.974611	5.447423	6.342602	6.755435
kfl00063_0190	65.580078	71.977509	69.209961	79.727592	92.678749	78.775742
kfl00063_0200	10.795005	11.959769	12.243976	11.323819	12.091453	12.31463
kfl00063_0210	16.274641	17.843025	19.611582	18.3234	18.480467	18.441593
