geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00049_0090	18.596378	19.529968	17.948921	19.205891	18.970165	18.452248
kfl00049_0100	30.112738	31.335033	32.990208	36.515301	33.582844	38.874866
kfl00049_0110	18.343979	17.401962	18.053837	20.84013	22.462894	22.132311
kfl00049_0120	18.037113	16.656425	14.263906	21.322279	23.986738	24.179991
kfl00049_0130	22.315884	21.268566	24.211338	17.500751	20.300821	20.01729
kfl00049_0140	27.530653	27.448994	25.099756	26.956121	27.406887	30.279943
kfl00049_0150	8.931064	10.343339	9.470275	7.624415	8.902104	7.93046
kfl00049_0160	13.168804	15.504574	16.647646	8.752783	9.803093	9.67415
kfl00049_0170	27.348997	29.853559	28.611464	31.24505	30.424959	24.96096
kfl00049_0180	5.170572	5.176178	4.331617	5.178051	2.870724	4.876485
kfl00049_0190	4.238067	4.034212	5.809727	3.973942	3.158047	2.616676
kfl00049_0200	21.027365	22.61533	20.666634	19.519701	20.544771	22.529976
kfl00049_0210	9.908061	10.911685	11.069372	9.65395	9.711418	10.835237
kfl00049_0220	0	0	0	0	0	0
kfl00049_0230	19.898579	19.916597	23.484198	23.399603	22.125675	20.163128
kfl00049_0240	55.13113	60.508598	61.731083	59.747566	62.939648	59.524754
kfl00049_0250	15.555589	16.8622	18.192755	18.963186	18.542885	18.063366
kfl00049_0260	0	0	0	0	0	0
kfl00049_0270	25.226452	27.438623	24.976347	10.103492	9.834034	12.491334
kfl00049_0280	11.145175	10.9854	11.174758	5.828115	5.710942	7.183145
kfl00049_0290	6.199227	6.416749	4.86678	8.536681	8.671179	9.33909
kfl00049_0300	35.330238	34.031765	32.3424	34.540337	31.620708	32.851524
kfl00049_0310	41.289577	45.130848	39.471111	39.049515	36.43565	38.287197
kfl00049_0320	0	0	0	0	0	0
kfl00049_0330	17.310259	17.809746	16.641781	20.355423	15.818618	17.568853
kfl00049_0340	9.557986	9.257895	8.735606	8.655134	9.149427	8.958718
kfl00049_0350	81.945549	79.82373	75.16188	66.039108	62.726604	64.142601
kfl00049_0360	0	0	0	0	0	0
kfl00049_0370	3.78453	4.894698	5.517839	5.906368	7.045517	5.988536
kfl00049_0380	0	0	0	0	0	0
kfl00049_g19	16.996649	12.846363	14.199896	9.740986	8.57236	9.21711
kfl00049_g42	0	0	0	0	0	0
kfl00049_g5	0	0	0	0	0	0
kfl00050_0010	11.188255	9.724998	10.303776	9.765927	9.60287	10.786053
kfl00050_0020	291.789917	303.31546	302.937561	233.314026	253.016083	210.498795
kfl00050_0030	13.868143	15.60079	15.18008	15.209523	16.900782	16.463831
kfl00050_0040	5.860001	5.713894	4.696169	3.499631	4.033118	4.298337
kfl00050_0050	5.748868	5.213312	5.731389	4.301723	5.117889	5.059838
kfl00050_0060	20.201378	17.965981	16.860334	11.877147	12.39669	11.258424
kfl00050_0070	15.489977	18.313324	20.134064	14.985547	16.493208	17.49025
kfl00050_0080	62.335949	59.095459	59.036839	51.175438	50.310532	48.418205
kfl00050_0090	10.151949	10.926031	11.304194	9.53527	9.051276	9.373322
kfl00050_0100	63.343693	67.631645	65.634285	54.466423	45.092419	48.595139
kfl00050_0110	20.127811	19.720255	20.701948	22.529417	21.047461	22.399536
kfl00050_0120	47.18	54.274166	44.658371	60.037064	61.892345	57.654743
kfl00050_0130	20.285667	21.544287	21.598091	24.246363	25.730175	25.030256
kfl00050_0140	16.445894	15.28532	17.992968	16.692902	18.863689	17.226973
kfl00050_0150	38.74765	41.942337	44.144783	51.670528	47.289799	45.654453
kfl00050_0160	39.847313	39.155327	41.399601	16.446604	15.946301	20.069574
kfl00050_0170	0	0	0	0	0	0
kfl00050_0180	1.749645	1.834936	1.345187	1.665767	1.932072	2.451479
kfl00050_0200	0.208404	0	0.267854	0	0.232998	0.0634
kfl00050_0210	2.154604	3.212215	4.212061	0.956454	1.427249	0.964785
kfl00050_0220	107.922379	113.221321	113.672035	111.558167	120.938263	111.732399
kfl00050_0230	11.814666	11.79431	12.692395	12.495751	12.799973	12.392633
kfl00050_0240	51.917274	42.980286	44.760788	33.284969	27.579121	30.013428
kfl00050_0250	123.761406	124.365295	121.581322	86.90184	78.950554	80.561966
kfl00050_0260	9.559637	8.209377	9.385554	6.598703	5.942293	6.175144
kfl00050_0270	23.12141	21.624372	21.239613	20.635748	22.283497	22.000689
kfl00050_0280	24.983799	22.911072	21.415106	5.817252	5.860108	6.031322
kfl00050_0290	70.529198	59.00629	61.926266	247.31459	246.845062	215.444183
kfl00050_0300	31.60504	25.104355	27.73757	61.506142	47.707504	53.896873
kfl00050_0310	26.075911	24.684948	27.449648	50.251221	58.493607	69.914078
kfl00050_0320	17.264439	15.733768	15.071523	12.513844	12.244627	11.636477
kfl00050_0330	31.943195	33.165474	31.705294	31.238821	30.442429	30.488426
kfl00050_0340	484.33847	580.35321	576.562012	510.87442	492.477905	482.965668
kfl00050_0350	16.038857	19.257618	18.94039	14.249995	12.492139	13.824137
kfl00050_0360	19.382185	17.004635	18.767868	29.176308	34.985069	36.820976
kfl00050_0370	40.251457	45.002842	43.874676	53.656319	53.686764	56.957298
kfl00050_0380	13.795732	14.261635	14.115465	14.506	16.562849	15.101046
kfl00050_0390	7.942723	7.371822	8.371017	7.035995	7.95302	8.169228
kfl00050_0400	1.398064	1.883887	1.650894	1.278511	1.480148	1.955721
kfl00050_0410	4.705815	4.793349	4.775502	3.778469	4.384726	4.622813
kfl00050_0430	26.758535	26.675486	32.883659	34.382679	31.860481	34.822014
kfl00050_0440	19.867809	23.380642	21.044962	25.315769	26.992285	25.432304
kfl00050_0450	71.311386	76.966492	73.776138	76.954277	72.769234	75.561943
kfl00050_0460	10.537169	14.305894	12.941215	14.573608	14.087543	14.884407
kfl00050_0470	11.718227	10.540422	11.954906	11.833202	8.176506	9.478578
kfl00050_0480	14.105034	14.954186	15.41708	12.860774	12.237858	11.885018
kfl00050_0490	105.011642	133.357941	126.22963	89.895981	89.996544	98.06958
kfl00050_0500	40.187584	39.819862	42.196735	39.169395	43.405087	44.735554
kfl00050_0510	22.650728	21.97998	20.642084	17.670525	21.075708	21.537409
kfl00050_0520	10.006571	9.495789	9.613502	6.17419	5.78285	7.273962
kfl00050_0530	15.227065	12.983707	14.747577	14.81863	12.83622	13.697042
kfl00050_0540	21.525362	21.152336	20.608753	10.556711	9.537471	9.241008
kfl00050_g18	0	0	0	0	0	0
kfl00050_g52	19.985178	25.139128	20.424849	23.614117	27.7917	25.473591
kfl00051_0010	29.426455	25.266331	24.852032	28.820143	30.454056	29.461252
kfl00051_0020	9.578414	10.287563	10.778113	10.715501	8.18649	8.949747
kfl00051_0030	2.398546	2.290032	2.282403	1.509158	1.710764	1.956374
