LL_1	LL_2	HL_1	HL_2
kfl00001_0790	4.5988227394251	4.72874677503292	5.53784978292997	5.6485361366118
kfl00001_0800	6.20863742648383	6.27368171391687	7.04036998904559	6.85538126544483
kfl00001_0810	4.53598474274058	4.60416405827144	8.57957824288939	8.6077768835075
kfl00001_0820	2.90575083310781	2.34943693826908	5.32713933483934	5.22557203394054
kfl00001_0830	4.04847262719189	4.10781867334679	3.89015492453991	3.75520180952908
kfl00001_0840	2.43330060987295	2.36860729466055	1.90756142602402	2.08230379704923
kfl00001_0850	5.64069138746522	5.57345422301531	4.20304979598665	4.29687884743356
kfl00001_0860	5.27471698741205	4.90940532090658	5.32701914506315	5.32540213240174
kfl00001_0870	0	0	0	0
kfl00002_0010	5.66870493250658	5.5864159649455	5.2171104362825	5.03872762494402
kfl00002_0020	5.46574316051513	5.41536244297597	5.25011896908432	5.34614538565391
kfl00002_0030	6.07351533945129	6.03968463732682	5.3347315485122	5.3074996965696
kfl00002_0040	4.68373925024834	4.46616203030958	3.8055717940242	3.71568745519798
kfl00002_0050	7.48850743342641	7.75359631678804	7.01775434819702	7.07488263221569
kfl00002_0060	3.79611427643999	3.44869563062032	4.91257492642093	5.04778075538874
kfl00002_0070	6.19762846058874	6.0217307736863	5.96908265946251	6.10752872950245
kfl00002_0080	6.66163002724441	6.66129172017663	6.80507510742171	6.6188223398939
kfl00002_0090	0	0	0.10584593736952	0
kfl00002_0100	6.60952174268956	6.8592594404025	6.49320266173802	6.19799774474283
kfl00002_0110	3.55541356345238	4.12167872120216	3.94850724579961	3.68019343008941
kfl00002_0120	6.97580527885608	6.88169924827047	8.39238377279749	8.41652912616497
kfl00002_0130	4.38042485675568	4.43672746923914	4.0185062086694	3.82810273283915
kfl00002_0140	6.08923926595916	6.1418690516435	6.04725543056556	6.27761766416422
kfl00002_0150	3.16964531530489	2.89823898767054	4.18235682634194	4.12952870682861
kfl00002_0160	7.77936970773118	7.71517909081467	7.78938434097095	7.81720027132561
kfl00002_0170	2.51835946644628	2.83192100309867	2.83755092046568	2.7912727197803
kfl00002_0180	3.3980729497313	3.61226087677144	2.96342225843549	2.947983941543
kfl00002_0190	1.41727443066192	1.93419325030341	0	0
kfl00002_0200	2.6408710085082	2.45931165643163	2.13115456799865	2.6899741033768
kfl00002_0210	7.72553334346104	7.71577795819362	7.83226996728674	7.85112435373333
kfl00002_0220	3.1733910796019	2.60068285589756	2.42183967494705	2.5757900828624
kfl00002_0240	5.70051475912855	5.69567685021145	4.24283586946315	4.69026052859652
kfl00002_0250	0	0	0	0
kfl00002_0260	0	0	0	0
kfl00002_0270	0	0	0	0
kfl00002_0280	4.31433791487167	4.60105897171958	4.33331123688339	4.40810581861345
kfl00002_0290	0.806062497875153	0	0	0
kfl00002_0300	5.67939947954555	5.30776312649517	4.44520555011765	4.09250543347678
kfl00002_0310	4.20331145829677	4.50102134915114	3.76256206488948	3.44572512374076
kfl00002_0320	4.63444862607012	4.20487164444147	5.40898824018559	5.51958832597772
kfl00002_0330	5.56466828841877	5.38137115777561	7.2961669974583	7.25798874101735
kfl00002_0340	1.77222619023277	1.80686167042775	1.26690068936468	0.712655059943598
kfl00002_0350	2.69011550175789	3.16972731414131	3.18322568739009	2.66894326626826
kfl00002_0360	3.64976376961341	3.74121683955658	3.28861173516195	3.48902292576874
kfl00002_0370	7.0521430481459	7.05369140847735	5.35868859668921	4.77534019543426
kfl00002_0380	3.40034512330942	3.42461639688621	3.24184433962251	3.33246960566508
kfl00002_0390	4.70263737278503	4.77882303738159	5.67974328034645	5.78234329725105
kfl00002_0400	0	0	0	0
kfl00002_0410	0	0	0	0
kfl00002_0420	5.94860649054044	6.02788195124303	5.91566677487183	5.87641475673967
kfl00002_0430	5.51235427216105	5.62132764048969	5.79529996810873	5.49908033568968
kfl00002_0440	6.68742126508141	6.80439670896351	7.58057520400674	7.59116608910407
kfl00002_0450	3.01376889872336	3.5056479745885	2.91369702781964	3.09236501544422
kfl00002_0460	4.08592409910812	4.31582019988033	3.08921282715072	2.9219769158064
kfl00002_0470	2.56356490938585	2.44741503839347	2.96297245199315	2.21007293746158
kfl00002_0480	5.33422257320284	5.10410730054032	3.74317348485204	3.69123771194849
kfl00002_0490	5.15143545108292	4.97856293453461	5.26881826751317	5.13326639057027
kfl00002_0500	5.86900991375099	5.68223175515274	5.63861896032582	5.88209455106533
kfl00002_0510	4.44028176280517	4.41978419969007	4.96756270657806	5.15239161769572
kfl00002_0520	3.92072495459147	4.71361164515253	5.05996909120113	4.8528501269362
kfl00002_0530	5.45607229876972	5.76946569700491	7.25570929179962	7.46801220393966
kfl00002_0540	0	0	0	0
kfl00002_0560	4.18130132365706	3.96023400639099	5.27272046523253	5.56314408268007
kfl00002_0570	5.72883828392976	5.9948023712701	6.26510409286657	6.20741182692031
