geneID	LL_1	LL_2	HL_1	HL_2
kfl00005_0230	5.797983	5.334318	7.461683	6.462232
kfl00005_0240	0.351621	0	0.75237	1.319241
kfl00005_0250	0	0	0	0
kfl00005_0260	0	0	0	0
kfl00005_0270	0	0	0	0
kfl00005_0280	0	0	0	0
kfl00005_0290	10.944563	11.567327	14.261479	18.667179
kfl00005_0300	25.706511	25.088575	63.834782	59.223549
kfl00005_0310	29.416758	33.408943	15.094508	16.980034
kfl00005_0320	0	0	0	0
kfl00005_0330	13.716	13.550763	45.305408	51.118557
kfl00005_0340	23.075579	16.082838	47.565517	50.730179
kfl00005_0350	0	0	0	0
kfl00005_0360	20.970158	16.222559	10.752912	8.593259
kfl00005_0370	0	0	0	0
kfl00005_0380	3.278993	3.823311	6.872127	6.655854
kfl00005_0390	7.042753	7.610323	4.986115	6.04423
kfl00005_0400	137.372391	125.697998	1209.286255	1233.546875
kfl00005_0410	0.053844	0.08984	0.155933	0.019821
kfl00005_0420	72.660469	78.755898	134.996307	144.825989
kfl00005_0430	14.437934	9.171241	11.480501	13.200541
kfl00005_0440	44.081127	37.526726	20.212629	15.815554
kfl00005_0450	13.490822	16.640728	7.398609	4.611578
kfl00005_0460	0	0	0	0
kfl00005_0465	0	0	0	0
kfl00005_0470	0	0	0	0
kfl00005_0480	154.364304	144.755203	175.522766	184.687027
kfl00005_0490	134.99408	88.145454	165.075455	166.084213
kfl00005_0500	284.658081	286.554718	53.7747	64.402252
kfl00005_0510	19.559507	22.709858	12.107517	11.58911
kfl00005_0520	53.843586	49.891033	72.773544	70.056618
kfl00005_0530	0	0	0	0
kfl00005_0540	0	0	0	0
kfl00005_0550	8.567874	6.992302	15.25546	17.540895
kfl00005_0560	17.528149	12.82189	7.482565	9.893011
kfl00005_0570	13.866226	12.794446	13.27881	14.634715
kfl00005_0580	4.388313	0	0	0
kfl00005_0590	3.192823	4.816482	1.346479	2.7855
kfl00005_0600	14.181326	14.309871	20.045723	18.353249
kfl00005_0610	3337.422363	2964.079346	1785.985229	1780.391113
kfl00005_0620	16.69211	21.047548	12.282317	16.003899
kfl00005_0630	3.232939	3.205058	5.569576	8.604495
kfl00005_0640	0	0	0	0
kfl00005_0650	16.374504	15.618369	8.644817	8.4792
kfl00005_0660	108.137695	97.271164	82.22702	81.314659
kfl00005_0670	15.929063	19.411875	16.717396	12.874421
kfl00005_0680	1.984231	0	2.327636	2.199856
kfl00005_0690	10.8410525394007	11.3767822349242	31.6159728497965	37.6091448490566
kfl00005_0700	19.243774	16.260632	17.13921	23.267088
kfl00005_g19	0.589451	1.495332	0	3.389375
kfl00005_g42	0	0	0	0
kfl00006_0010	0	0	0	0
kfl00006_0020	240.360687	204.354568	180.828293	187.720627
kfl00006_0030	16.316578	15.25481	35.667889	37.662781
kfl00006_0040	1376.030518	1509.01062	1208.779297	1252.339111
kfl00006_0050	28.914791	27.201813	17.603859	17.996071
kfl00006_0060	29.617716	36.284325	37.448353	36.415726
kfl00006_0070	9.174322	6.371826	10.355592	11.972185
kfl00006_0080	3.090419	4.780757	0.365332	1.513658
kfl00006_0090	0	0	0	0
kfl00006_0100	6.219648	5.226226	8.126317	6.85645
kfl00006_0110	6.109759	5.284649	1.837682	2.651532
kfl00006_0120	5.070343	5.888989	8.638548	7.932725
kfl00006_0130	15.895297	18.26539	11.724278	11.784712
kfl00006_0140	1737.490845	1824.616089	1662.849365	1685.072266
kfl00006_0150	66.7649	64.38459	144.255463	135.234756
kfl00006_0160	6.842264	7.449017	11.70343	11.444043
kfl00006_0170	27.865751	25.826895	27.823639	32.478878
kfl00006_0180	0	0	0.559367	0
kfl00006_0190	3.794194	1.457944	0.934886	0.864694
kfl00006_0200	12.842484	9.163644	5.623175	7.327442
kfl00006_0210	5.169327	7.056023	4.496841	4.437676
kfl00006_0220	20.746716	19.421734	9.21479	14.470514
kfl00006_0230	33.044376	35.379944	27.201349	25.58494
kfl00006_0240	16.134212	16.691284	26.758009	33.7672
kfl00006_0250	10.853889	7.609739	3.455003	5.341461
kfl00006_0260	35.955547	35.102753	17.110268	22.327259
kfl00006_0270	116.690971	107.413788	172.852997	175.342514
kfl00006_0280	1.526543	1.430954	1.771032	0.637411
kfl00006_0290	0	0	0	0
kfl00006_0300	0	0	0	0
kfl00006_0310	0	0	0	0
kfl00006_0320	0	0	0	0
kfl00006_0330	28.179533	37.144085	29.524628	16.69548
kfl00006_0340	16.70079	17.099567	11.504451	10.509353
kfl00006_0350	117.393852	99.913742	232.636566	247.141876
kfl00006_0360	163.204544	127.08667	96.463295	97.182892
kfl00006_0370	6.307918	8.948189	8.919975	11.902679
kfl00006_0380	81.99836	86.912117	119.787598	120.682892
kfl00006_0390	6.211677	6.752167	5.945305	8.578674
kfl00006_0400	449.872681	445.376831	474.495239	523.499512
kfl00006_0410	5.550499	6.218227	8.754803	8.881515
kfl00006_0420	2.45955	1.93703	0.731095	0.233751
kfl00006_0430	5.340341	4.521478	0.770631	0.983645
kfl00006_0440	4.129688	2.860415	1.164295	2.271497
kfl00006_0450	0	0	0	0
kfl00006_0460	8.820965	7.828053	1.105305	1.42377
kfl00006_0470	190.245193	196.6978	239.952377	222.864899
